method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice,constraint_validity,mean_target_logit_margin,generation_time_to_k_or_cap_seconds,candidate_evaluations,rounds_used
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,0.6400000000000001,0.7050000000000001,0.59,0.617,0.435,0.09199173355372725,0.6442531881698549,0.6442531881698549,0.06083253702640042,0.32874914182103904,0.32874914182103904,0.6721572039072039,0.5195712454212456,0.9140779163856088,0.9140779163856088,0.9900545911311749,1.0,0.3839849447360733,0.10271008985003846,512.0,4.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,1024,0.7265,0.82,0.675,0.6945,0.45999999999999996,0.0958216249840872,0.6431272280385756,0.6431272280385756,0.060391615059631545,0.33615181889003887,0.33615181889003887,0.6011870989530563,0.5308630530226275,0.9064066904646615,0.9064066904646615,0.9901977795221452,1.0,0.35078747273736993,0.23183636240998112,1024.0,8.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,128,0.357,0.59,0.16499999999999998,0.3535,0.15999999999999998,0.11372529113807991,0.5148642352563921,0.5148642352563921,0.051586737110214755,0.3170852626089898,0.3170852626089898,0.7484708428826076,0.5130866225277989,0.9337822480117643,0.9337822480117643,0.9953697365220218,1.0,0.5806799822777456,0.017255108560038937,128.0,1.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,256,0.5695,0.6950000000000001,0.49,0.5579999999999999,0.42500000000000004,0.10767452416202947,0.559865449622394,0.559865449622394,0.056943916983479434,0.32450182594973104,0.32450182594973104,0.6464478766934124,0.5240250341589627,0.9196818973344173,0.9196818973344173,0.9946580747240579,1.0,0.46419041072642736,0.042677308045022073,256.0,2.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,512,0.6815,0.765,0.62,0.6585,0.45999999999999996,0.09624007323501912,0.6342671316566542,0.6342671316566542,0.0595362945138666,0.32758783607723385,0.32758783607723385,0.6220939539988007,0.5353565771758929,0.917466395055367,0.917466395055367,0.9906795916838531,1.0,0.39834091680274425,0.10288860939503137,512.0,4.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,1024,0.749,0.805,0.69,0.7155,0.495,0.09571181596825247,0.6461292372385036,0.6461292372385036,0.06181018004473122,0.3359567163075634,0.3359567163075634,0.6260715038703654,0.5228172218708272,0.9128382787333911,0.9128382787333911,0.9902195150914528,1.0,0.3701003500596773,0.23296255812496383,1024.0,8.0
uniform_random,Uniform constrained random,128,0.0475,0.215,0.0,0.0435,0.0,0.028981889371210948,0.676013770180437,0.676013770180437,0.02166293018664687,0.29136780365802467,0.29136780365802467,0.7957692307692308,0.48374786324786323,0.9423442179852436,0.9423442179852436,0.9785596001221001,1.0,0.26219980561962497,0.006621091544984665,128.0,1.0
uniform_random,Uniform constrained random,256,0.1415,0.3,0.025,0.1345,0.015,0.040009636045645246,0.6194558431537599,0.6194558431537599,0.03496805163079195,0.31535646423862584,0.31535646423862584,0.8148324765512266,0.5027935606060606,0.9185529918386501,0.9185529918386501,0.9849787863036772,1.0,0.2764164087870582,0.012805011025016029,256.0,2.0
uniform_random,Uniform constrained random,512,0.29350000000000004,0.445,0.22,0.27999999999999997,0.155,0.051264985730780754,0.5995811723166796,0.5995811723166796,0.038194234009306965,0.33354628393871366,0.33354628393871366,0.6610884988602379,0.5172044984001506,0.9113773644599141,0.9113773644599141,0.9855032632518967,1.0,0.26003750878704,0.025473356750003406,512.0,4.0
uniform_random,Uniform constrained random,1024,0.46499999999999997,0.605,0.37,0.4435,0.245,0.06722621199230856,0.5725245388044263,0.5725245388044263,0.0513076758783506,0.3618364741478166,0.3618364741478166,0.5794215893108299,0.5013058401982452,0.8956234503811981,0.8956234503811981,0.9889363489309491,1.0,0.26230840745924866,0.053144664014994306,1024.0,8.0
wachter_style,Custom Wachter-style gradient,128,0.0045000000000000005,0.045,0.0,0.0045000000000000005,0.0,0.016125032988687355,0.75,0.75,0.0,0.22836189402204127,0.22836189402204127,0.9166666666666667,0.4333333333333333,1.0,1.0,0.9465277777777779,1.0,0.23694056272506714,0.018183155635010738,128.0,1.0
wachter_style,Custom Wachter-style gradient,256,0.019500000000000003,0.175,0.0,0.019500000000000003,0.0,0.024066210435703395,0.633888888888889,0.633888888888889,0.0042178319394588475,0.270389508363545,0.270389508363545,0.8400000000000001,0.483,0.9761538461538461,0.9761538461538461,0.989436507936508,1.0,0.31780823215842247,0.032027555529998614,256.0,1.0
wachter_style,Custom Wachter-style gradient,512,0.19100000000000003,0.55,0.015,0.19,0.015,0.08493979056219378,0.4641491722136884,0.4641491722136884,0.04424296049557082,0.34032191771207043,0.34032191771207043,0.6477617200412218,0.5128354138715511,0.9199485114953778,0.9199485114953778,0.9938613235922087,1.0,0.5135579621879458,0.05915058949502054,512.0,1.0
wachter_style,Custom Wachter-style gradient,1024,0.248,0.715,0.015,0.247,0.015,0.099449689859753,0.4739177521231367,0.4739177521231367,0.0503462188534948,0.36994611749114825,0.36994611749114825,0.45217428901455287,0.5259274068150517,0.9433117366526761,0.9433117366526761,0.9932844057296359,1.0,0.6602410988130721,0.11242856272497648,1024.0,1.0
