method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
genetic_cfe,no_disease_to_disease,1024,0.24,7.17,0.04520368370997858,917.76,5
proposed_countergan,disease_to_no_disease,128,0.01,1.0,0.009297867690047496,128.0,5
proposed_countergan,disease_to_no_disease,256,0.6,1.98,0.018902046099965444,253.44,5
proposed_countergan,disease_to_no_disease,512,0.84,2.61,0.024063185450013406,334.08,5
proposed_countergan,disease_to_no_disease,1024,0.89,3.0,0.02963550978000967,384.0,5
proposed_countergan,no_disease_to_disease,128,0.08,1.0,0.00900630716001615,128.0,5
proposed_countergan,no_disease_to_disease,256,0.46,1.91,0.01673990432995197,244.48,5
proposed_countergan,no_disease_to_disease,512,0.6,2.86,0.02402562775003389,366.08,5
proposed_countergan,no_disease_to_disease,1024,0.62,4.5,0.03644621900998572,576.0,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,0.56,1.0,0.019382241470038933,128.0,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,0.84,1.46,0.029292369699978737,186.88,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,0.88,1.74,0.03374193728998762,222.72,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,1024,0.9,2.18,0.04098953405999055,279.04,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,0.09,1.0,0.015398213080015922,128.0,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,0.26,1.89,0.029296418829990217,241.92,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,0.4,3.29,0.050773111979997336,421.12,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,1024,0.54,5.4,0.08177821480000602,691.2,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,0.67,1.0,0.023160307479965923,128.0,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,0.84,1.34,0.029814212489973214,171.52,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,0.87,1.61,0.03399997481994433,206.08,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,1024,0.91,2.13,0.04298738750999291,272.64,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,0.19,1.0,0.016875259980024565,128.0,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,0.4,1.81,0.030016310630026057,231.68,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,0.57,2.91,0.047759710510063086,372.48,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,1024,0.61,4.69,0.07488252728998304,600.32,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,0.59,1.0,0.02043723694999244,128.0,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,0.85,1.39,0.029103881300006833,177.92,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,0.87,1.66,0.032739013959999286,212.48,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,1024,0.9,2.1,0.04028910977001033,268.8,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,0.14,1.0,0.01585592161997738,128.0,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,0.3,1.86,0.02939737012999103,238.08,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,0.4,3.21,0.0493328420600119,410.88,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,1024,0.53,5.35,0.08226355461998537,684.8,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,0.61,1.0,0.019472029360040322,128.0,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,0.83,1.38,0.027468989549961405,176.64,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,0.87,1.69,0.033253449360026936,216.32,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,1024,0.91,2.09,0.03945946994001133,267.52,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,0.1,1.0,0.014963851690044976,128.0,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,0.31,1.86,0.02927502685009131,238.08,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,0.5,3.21,0.05043398123995758,410.88,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,1024,0.6,5.13,0.07918713297995965,656.64,5
uniform_random,disease_to_no_disease,128,0.02,1.0,0.006292620679960237,128.0,5
uniform_random,disease_to_no_disease,256,0.21,1.98,0.012438605100060158,253.44,5
uniform_random,disease_to_no_disease,512,0.42,3.45,0.02148708695001915,441.6,5
uniform_random,disease_to_no_disease,1024,0.68,5.39,0.03625479938002172,689.92,5
uniform_random,no_disease_to_disease,128,0.01,1.0,0.006248061910018805,128.0,5
uniform_random,no_disease_to_disease,256,0.08,2.0,0.012312568780025686,256.0,5
uniform_random,no_disease_to_disease,512,0.15,3.76,0.022860943180021423,481.28,5
uniform_random,no_disease_to_disease,1024,0.23,7.09,0.042963971390017834,907.52,5
