method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
proposed_dp_eps2_sparse_diverse,11,256,no_disease_to_disease,1.0,1.0,1.0,0.76,0.15,0.06540156438946725,0.7163888888888889,0.07314770262688398,0.5502518723920514,0.9985916278299737,256.0
proposed_dp_eps2_sparse_diverse,11,512,disease_to_no_disease,1.0,1.0,1.0,0.8640000000000001,0.28,0.07885471224784851,0.7644444444444445,0.07605028262361885,0.6907303761209593,2.02504488139999,512.0
proposed_dp_eps2_sparse_diverse,11,512,no_disease_to_disease,1.0,1.0,1.0,0.767,0.17,0.05997432325035334,0.7646111111111111,0.07255844164639712,0.5673537990354607,2.050542488799965,512.0
proposed_dp_eps4_sparse_diverse,11,64,disease_to_no_disease,0.945,0.98,0.81,0.774,0.28,0.08877638077401385,0.5776290807328223,0.046874942676145205,0.5226385456037905,0.23749706649000474,64.0
proposed_dp_eps4_sparse_diverse,11,64,no_disease_to_disease,0.9670000000000001,1.0,0.95,0.7490000000000001,0.18,0.08210873709991574,0.5935925925925926,0.05967901229858399,0.4967942427085879,0.24410204666992286,64.0
proposed_dp_eps4_sparse_diverse,11,128,disease_to_no_disease,1.0,1.0,1.0,0.794,0.23,0.08459291439503432,0.647,0.06160343611612916,0.5805931935589812,0.4816498392899484,128.0
proposed_dp_eps4_sparse_diverse,11,128,no_disease_to_disease,1.0,1.0,1.0,0.733,0.13,0.07995002970099449,0.6399444444444444,0.07136423461139202,0.5308527198668823,0.4938853670498975,128.0
proposed_dp_eps4_sparse_diverse,11,256,disease_to_no_disease,1.0,1.0,1.0,0.8140000000000001,0.22,0.08132971491664648,0.7140555555555557,0.07182312777265906,0.6384919690217539,0.9846353681401251,256.0
proposed_dp_eps4_sparse_diverse,11,256,no_disease_to_disease,1.0,1.0,1.0,0.7390000000000001,0.17,0.0741711227223277,0.700388888888889,0.07592618234455585,0.5659694805335345,0.9987688098400759,256.0
proposed_dp_eps4_sparse_diverse,11,512,disease_to_no_disease,1.0,1.0,1.0,0.833,0.17,0.07235916407778858,0.7760555555555555,0.0677338950522244,0.670412673666958,2.01213136291999,512.0
proposed_dp_eps4_sparse_diverse,11,512,no_disease_to_disease,1.0,1.0,1.0,0.736,0.14,0.06733518118038774,0.7607777777777778,0.07401675295084714,0.599360297594844,2.029264854580142,512.0
proposed_dp_eps8_sparse_diverse,11,64,disease_to_no_disease,0.823,0.95,0.69,0.6709999999999999,0.24,0.0806473376915643,0.5769708994708995,0.04494328618441758,0.5051550667770492,0.2335540903600304,64.0
proposed_dp_eps8_sparse_diverse,11,64,no_disease_to_disease,0.92,0.99,0.83,0.679,0.08,0.0710781735716143,0.6278479236812571,0.056241279712530096,0.47001184416881214,0.24460364330001538,64.0
proposed_dp_eps8_sparse_diverse,11,128,disease_to_no_disease,0.995,1.0,0.98,0.8059999999999999,0.24,0.07975584335625172,0.6392202380952381,0.06974255237728358,0.5826817792086573,0.4753112353399411,128.0
proposed_dp_eps8_sparse_diverse,11,128,no_disease_to_disease,1.0,1.0,1.0,0.732,0.07,0.0672631237283349,0.6833333333333332,0.06219352148473263,0.5094687885856866,0.49368699494001705,128.0
proposed_dp_eps8_sparse_diverse,11,256,disease_to_no_disease,1.0,1.0,1.0,0.807,0.22,0.07666333898901939,0.7075,0.07597892561927438,0.6359404242446892,0.9770004872099889,256.0
proposed_dp_eps8_sparse_diverse,11,256,no_disease_to_disease,1.0,1.0,1.0,0.7240000000000001,0.05,0.0640190264210105,0.735,0.06704757982864976,0.5407014065660541,0.9913013128502461,256.0
proposed_dp_eps8_sparse_diverse,11,512,disease_to_no_disease,1.0,1.0,1.0,0.816,0.21,0.06821896417066454,0.7662777777777778,0.07087001916021109,0.6615979253818939,2.008085041250033,512.0
proposed_dp_eps8_sparse_diverse,11,512,no_disease_to_disease,1.0,1.0,1.0,0.701,0.07,0.056997693441808224,0.7906111111111112,0.06242659002542496,0.5541214577208458,2.015338963810118,512.0
uniform_random,11,64,disease_to_no_disease,0.861,0.98,0.69,0.754,0.19,0.0856485727946369,0.1695843681387899,0.10510820340441197,0.6376210771175418,0.047187622629980976,64.0
uniform_random,11,64,no_disease_to_disease,0.929,1.0,0.82,0.75,0.13,0.08967737965285778,0.15262103174603175,0.10784089758992195,0.6198059193998031,0.04452793639000447,64.0
uniform_random,11,128,disease_to_no_disease,0.992,1.0,0.99,0.848,0.19,0.08942023307085037,0.19166666666666668,0.11236280634999275,0.6555770334106852,0.08884638781996727,128.0
uniform_random,11,128,no_disease_to_disease,0.995,1.0,0.99,0.807,0.12,0.09167549297213555,0.18911111111111112,0.11455940812826157,0.6369535524790101,0.08816790956992918,128.0
uniform_random,11,256,disease_to_no_disease,0.998,1.0,0.99,0.855,0.15,0.0907845862954855,0.21293055555555554,0.1165691727399826,0.6717236931835832,0.1794318284500605,256.0
uniform_random,11,256,no_disease_to_disease,1.0,1.0,1.0,0.8210000000000001,0.11,0.09357210718095303,0.20655555555555555,0.12087914764881134,0.6480209955915186,0.17823241203993348,256.0
uniform_random,11,512,disease_to_no_disease,1.0,1.0,1.0,0.852,0.19,0.09179035238921643,0.2155,0.11869678184390069,0.6809841952772182,0.36858830680004756,512.0
uniform_random,11,512,no_disease_to_disease,1.0,1.0,1.0,0.82,0.12,0.09462575912475586,0.20605555555555555,0.12236901566386223,0.6527716196250826,0.36196069855996027,512.0
wachter_style,11,64,disease_to_no_disease,0.03,0.3,0.0,0.015,0.0,0.020810415875166653,0.85,0.0,0.3603887885750146,0.0488326015700386,64.0
wachter_style,11,64,no_disease_to_disease,0.031,0.31,0.0,0.007000000000000001,0.0,0.022467316488825505,0.8207885304659498,0.0,0.42457306659839156,0.04846842423001362,64.0
wachter_style,11,128,disease_to_no_disease,0.062,0.62,0.0,0.047,0.0,0.035451065959228624,0.031362007168458786,0.0,0.41241780305666637,0.05638753828998233,128.0
wachter_style,11,128,no_disease_to_disease,0.09,0.9,0.0,0.062,0.0,0.038730270767377485,0.05925925925925928,0.0,0.43167276686397754,0.056363540409993224,128.0
wachter_style,11,256,disease_to_no_disease,0.10200000000000001,0.98,0.0,0.10100000000000002,0.0,0.06070980087530856,0.02607709750566894,0.0013026421585557411,0.4873137401995773,0.07158725040001628,256.0
wachter_style,11,256,no_disease_to_disease,0.1,1.0,0.0,0.1,0.0,0.057867949791252614,0.03944444444444446,0.0,0.4860466069013009,0.07157310777997736,256.0
wachter_style,11,512,disease_to_no_disease,0.10300000000000001,1.0,0.0,0.10200000000000001,0.0,0.07624255850911141,0.03666666666666667,0.0008548116497695446,0.5364370796273333,0.10112936934000573,512.0
wachter_style,11,512,no_disease_to_disease,0.1,1.0,0.0,0.1,0.0,0.06939560517668725,0.0488888888888889,0.0,0.5254839925729461,0.10077152727998509,512.0
