method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,64,0.97,1.0,0.23746020016999864,64.0,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,1.0,1.04,0.2466403365699989,66.56,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,1.0,1.05,0.24886984772009782,67.2,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,1.0,1.04,0.2459353478399953,66.56,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,64,0.97,1.0,0.24406508678996033,64.0,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,1.0,1.01,0.24721783142995263,64.64,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,1.0,1.02,0.25024043503997745,65.28,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,1.0,1.02,0.24938401018009246,65.28,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,64,0.84,1.0,0.23351758579002307,64.0,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,1.0,1.13,0.2646035283799392,72.32,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,1.0,1.15,0.2696263228299995,73.6,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,1.0,1.16,0.2739231192799616,74.24,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,64,0.92,1.0,0.2445662025699312,64.0,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,1.0,1.03,0.2534881299901281,65.92,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,1.0,1.04,0.2550957746202039,66.56,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,1.0,1.04,0.2545813956201346,66.56,5
uniform_random,disease_to_no_disease,64,0.91,1.0,0.04647119031991678,64.0,5
uniform_random,disease_to_no_disease,128,0.99,1.05,0.04581304249997629,67.2,5
uniform_random,disease_to_no_disease,256,1.0,1.08,0.04713322834999417,69.12,5
uniform_random,disease_to_no_disease,512,1.0,1.12,0.04895095224997931,71.68,5
uniform_random,no_disease_to_disease,64,0.95,1.0,0.0437786508499903,64.0,5
uniform_random,no_disease_to_disease,128,1.0,1.04,0.045207074390000344,66.56,5
uniform_random,no_disease_to_disease,256,1.0,1.05,0.04591756245996294,67.2,5
uniform_random,no_disease_to_disease,512,1.0,1.04,0.04539299357003074,66.56,5
wachter_style,disease_to_no_disease,64,0.0,1.0,0.0488326015700386,64.0,5
wachter_style,disease_to_no_disease,128,0.0,1.0,0.05638753828998233,128.0,5
wachter_style,disease_to_no_disease,256,0.0,1.0,0.07158725040001628,256.0,5
wachter_style,disease_to_no_disease,512,0.0,1.0,0.10112936934000573,512.0,5
wachter_style,no_disease_to_disease,64,0.0,1.0,0.04846842423001362,64.0,5
wachter_style,no_disease_to_disease,128,0.0,1.0,0.056363540409993224,128.0,5
wachter_style,no_disease_to_disease,256,0.0,1.0,0.07157310777997736,256.0,5
wachter_style,no_disease_to_disease,512,0.0,1.0,0.10077152727998509,512.0,5
countergan_one_shot,disease_to_no_disease,64,0.52,1.0,0.04562209118993451,64.0,10
countergan_one_shot,disease_to_no_disease,128,0.66,1.0,0.046978520429984204,128.0,10
countergan_one_shot,disease_to_no_disease,256,0.78,1.0,0.04957538697998643,256.0,10
countergan_one_shot,disease_to_no_disease,512,0.84,1.0,0.05437952401000075,512.0,10
countergan_one_shot,no_disease_to_disease,64,0.88,1.0,0.0451370498999313,64.0,10
countergan_one_shot,no_disease_to_disease,128,0.93,1.0,0.04624302526013707,128.0,10
countergan_one_shot,no_disease_to_disease,256,0.98,1.0,0.047871537889950556,256.0,10
countergan_one_shot,no_disease_to_disease,512,1.0,1.0,0.051421627379895654,512.0,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.38,1.0,0.23174160297004165,64.0,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.95,1.6,0.37789163366004686,102.4,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.64,0.3892131304899249,104.96,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.65,0.38804973864991554,105.6,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,0.84,1.0,0.24570052371005657,64.0,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,1.0,1.14,0.27895020762996864,72.96,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,1.0,1.19,0.29160017486996365,76.16,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,1.0,1.13,0.2769385009699181,72.32,10
dice_gradient_style,disease_to_no_disease,64,0.0,1.0,0.05035570695001297,64.0,10
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.058735134980033764,128.0,10
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.07726250462994358,256.0,10
dice_gradient_style,disease_to_no_disease,512,0.0,1.0,0.11040700701004426,512.0,10
dice_gradient_style,no_disease_to_disease,64,0.0,1.0,0.05039886246995593,64.0,10
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.059741111220018864,128.0,10
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.07633411901002546,256.0,10
dice_gradient_style,no_disease_to_disease,512,0.0,1.0,0.1093684973499785,512.0,10
