method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
proposed_dp_eps16_sparse_diverse,11,1024,no_disease_to_disease,0.551,0.68,0.47,0.53,0.35,0.09304099529981613,0.6382242711899575,0.048045570236247254,0.3360331903481634,0.18357567077999193,1024.0
proposed_dp_eps2_sparse_diverse,11,128,disease_to_no_disease,0.652,0.87,0.43,0.647,0.41,0.1106998276436466,0.5440628230858116,0.06250999437580848,0.32962815866323025,0.023198474980017637,128.0
proposed_dp_eps2_sparse_diverse,11,128,no_disease_to_disease,0.214,0.43,0.07,0.20900000000000002,0.07,0.10403878735594971,0.538151634469464,0.048014195982453434,0.31223695061103524,0.01691206672005137,128.0
proposed_dp_eps2_sparse_diverse,11,256,disease_to_no_disease,0.8240000000000001,0.89,0.77,0.807,0.69,0.10217804913775305,0.6035065295364921,0.06745868247379078,0.33529911856319744,0.055869081199989526,256.0
proposed_dp_eps2_sparse_diverse,11,256,no_disease_to_disease,0.384,0.59,0.25,0.374,0.2,0.09855882015268681,0.5918505066810152,0.04895164183009479,0.3011815073650587,0.03811134087997743,256.0
proposed_dp_eps2_sparse_diverse,11,512,disease_to_no_disease,0.879,0.91,0.85,0.848,0.65,0.09526178375869007,0.6527947361280695,0.07026895839761901,0.3389759200965625,0.12916548387998772,512.0
proposed_dp_eps2_sparse_diverse,11,512,no_disease_to_disease,0.545,0.65,0.42,0.524,0.31,0.09590227798773693,0.6306389906389906,0.05180151201784611,0.32361553970766793,0.09155495153006996,512.0
proposed_dp_eps2_sparse_diverse,11,1024,disease_to_no_disease,0.904,0.94,0.88,0.8759999999999999,0.68,0.09697629701583943,0.651446583361477,0.070213010633721,0.34299784985590986,0.27850837477001733,1024.0
proposed_dp_eps2_sparse_diverse,11,1024,no_disease_to_disease,0.606,0.7,0.53,0.579,0.39,0.0940220625272819,0.6399263038548753,0.050266505827728125,0.33217558241979256,0.20272280405999482,1024.0
proposed_dp_eps4_sparse_diverse,11,128,disease_to_no_disease,0.578,0.87,0.33,0.5710000000000001,0.3,0.11827366961829963,0.5261068539804172,0.061050410435973916,0.3193300687730541,0.02047665501998381,128.0
proposed_dp_eps4_sparse_diverse,11,128,no_disease_to_disease,0.147,0.32,0.04,0.141,0.04,0.09153165665338747,0.559886188271605,0.04115626437123865,0.3239183042655508,0.015892578030043295,128.0
proposed_dp_eps4_sparse_diverse,11,256,disease_to_no_disease,0.84,0.91,0.76,0.8220000000000001,0.64,0.10816061206080102,0.5798394286489524,0.07034078838078531,0.3366787670771456,0.052188743759988936,256.0
proposed_dp_eps4_sparse_diverse,11,256,no_disease_to_disease,0.261,0.4,0.15,0.25,0.13,0.08924790676683188,0.6091512345679013,0.04916598410345614,0.32002433177399553,0.035028670749943557,256.0
proposed_dp_eps4_sparse_diverse,11,512,disease_to_no_disease,0.8690000000000001,0.91,0.84,0.8370000000000001,0.62,0.09971299227122422,0.6411545244878579,0.07149201580374451,0.3364966941683046,0.12449873142006254,512.0
proposed_dp_eps4_sparse_diverse,11,512,no_disease_to_disease,0.41100000000000003,0.5,0.34,0.397,0.25,0.08427047483623028,0.6473518518518518,0.05017305824905634,0.3210015894737735,0.08092144828001438,512.0
proposed_dp_eps4_sparse_diverse,11,1024,disease_to_no_disease,0.907,0.94,0.88,0.872,0.61,0.0988068385644162,0.6472156553716838,0.0730112377910855,0.3398720767567516,0.27655409445998885,1024.0
proposed_dp_eps4_sparse_diverse,11,1024,no_disease_to_disease,0.546,0.7,0.47,0.517,0.31,0.09283641140375819,0.6390388007054674,0.0477719923281776,0.3324315610233261,0.1871186303599734,1024.0
proposed_dp_eps8_sparse_diverse,11,128,disease_to_no_disease,0.584,0.85,0.3,0.579,0.29,0.1270953311201404,0.48573295985060694,0.05893155901747591,0.32702320989128486,0.019509460670005866,128.0
proposed_dp_eps8_sparse_diverse,11,128,no_disease_to_disease,0.13,0.33,0.03,0.128,0.03,0.10035525115601944,0.5439955106621773,0.0442419152029536,0.3071473153266947,0.015000756450072004,128.0
proposed_dp_eps8_sparse_diverse,11,256,disease_to_no_disease,0.83,0.91,0.76,0.815,0.68,0.11529343996892918,0.5475105141771809,0.07047605537041858,0.3441061488909835,0.05094744550999167,256.0
proposed_dp_eps8_sparse_diverse,11,256,no_disease_to_disease,0.309,0.48,0.22,0.301,0.17,0.10005560835512976,0.5722203850676073,0.043411778596540294,0.30489750300847857,0.03440717058005248,256.0
proposed_dp_eps8_sparse_diverse,11,512,disease_to_no_disease,0.8740000000000001,0.92,0.84,0.845,0.62,0.10220100127322518,0.6334943639291466,0.07225660478655735,0.34194335997712083,0.1249609056900681,512.0
proposed_dp_eps8_sparse_diverse,11,512,no_disease_to_disease,0.489,0.61,0.4,0.47200000000000003,0.3,0.09027914519681306,0.6350398993841617,0.04681598424117585,0.3132323121773469,0.08081631309999465,512.0
proposed_dp_eps8_sparse_diverse,11,1024,disease_to_no_disease,0.912,0.93,0.89,0.878,0.63,0.1019015677113046,0.6419952210274792,0.07347896244497068,0.340879260728038,0.2776536940399819,1024.0
proposed_dp_eps8_sparse_diverse,11,1024,no_disease_to_disease,0.586,0.68,0.49,0.5529999999999999,0.36,0.08952206422520034,0.650263253449528,0.050141397644491756,0.33103417188708884,0.18827142220994575,1024.0
uniform_random,11,128,disease_to_no_disease,0.06,0.3,0.0,0.057,0.0,0.026080226215223472,0.6956172839506174,0.016192415046195188,0.27920615136471094,0.006646717819949117,128.0
uniform_random,11,128,no_disease_to_disease,0.035,0.13,0.0,0.03,0.0,0.031883552527198426,0.6564102564102564,0.027133445327098552,0.3035294559513384,0.006595465270020213,128.0
