direction,method,method_family,candidate_cohort_seed,plaintext_logit,he_logit,abs_logit_error,label_agreement
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,27.422260781220402,27.42227288581863,1.2104598226869712e-05,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,12.190071562336747,12.19008031370355,8.751366802783878e-06,True
disease_to_no_disease,genetic_cfe,Baseline,101,-8.549549122003862,-8.549545821566293,3.3004375694645205e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-6.632770442283857,-6.632766869092999,3.5731908587521843e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-22.946898033734275,-22.946898048225428,1.4491153166318327e-08,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-4.6519723975365075,-4.65196840214178,3.995394727063228e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-8.6360749374399,-8.636071965575741,2.971864159206916e-06,True
disease_to_no_disease,proposed_countergan,Non-DP CounterGAN,101,-2.088661755843731,-2.088656895434564,4.860409166695945e-06,True
no_disease_to_disease,uniform_random,Baseline,101,2.314584296273795,2.314589885004056,5.5887302612411816e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,1.7285925452941875,1.7285978088455856,5.263551398071442e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,2.903668145762186,2.9036738360540606,5.690291874582698e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,0.5893310372005587,0.5893363310694418,5.293868883149422e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,1.3139614405917897,1.3139669130299254,5.4724381357562635e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,0.32544302193555197,0.3254482959811879,5.274045635939029e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-1.9578273355110376,-1.9578225257646316,4.809746406042592e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-2.933319431951988,-2.933314261929723,5.170022264966434e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-7.008275596057906,-7.008271937658711,3.658399195138884e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-2.1397714580826266,-2.1397666022896296,4.8557929970272085e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-0.7591881396523412,-0.7591828954440969,5.244208244326032e-06,True
