round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,base_candidates,prune_candidates,fill_candidates,prune_valid_candidates,proposal_adapts_to_oracle,acceptance_denominator_kind
7,64,448,64,55,216,0.261286895000012,1.7576167120005266,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,17.0,True,all scored base+prune/fill candidates
8,64,512,64,54,242,0.2668975030010188,2.0245142150015454,2,proposed_dp_eps8_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,16.0,True,all scored base+prune/fill candidates
1,64,64,64,63,37,0.23880692099919543,0.23880692099919543,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,18.0,14.0,17.0,True,all scored base+prune/fill candidates
2,64,128,64,62,74,0.2495865410000988,0.48839346199929423,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,21.0,11.0,20.0,True,all scored base+prune/fill candidates
3,64,192,64,63,102,0.3091505669999606,0.7975440289992548,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,27.0,5.0,26.0,True,all scored base+prune/fill candidates
4,64,256,64,59,130,0.2729178600002342,1.070461888999489,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,21.0,True,all scored base+prune/fill candidates
5,64,320,64,57,162,0.25950870900123846,1.3299705980007275,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,27.0,5.0,20.0,True,all scored base+prune/fill candidates
6,64,384,64,55,191,0.25864214099965466,1.5886127390003821,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,29.0,3.0,20.0,True,all scored base+prune/fill candidates
7,64,448,64,52,223,0.25933218600039254,1.8479449250007747,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,27.0,5.0,16.0,True,all scored base+prune/fill candidates
8,64,512,64,53,255,0.25781514199843514,2.10576006699921,2,proposed_dp_eps4_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,25.0,7.0,15.0,True,all scored base+prune/fill candidates
1,64,64,64,59,31,0.2472712369999499,0.2472712369999499,2,proposed_dp_eps2_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,24.0,8.0,23.0,True,all scored base+prune/fill candidates
2,64,128,64,60,63,0.276247155999954,0.5235183929999039,2,proposed_dp_eps2_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,25.0,7.0,25.0,True,all scored base+prune/fill candidates
3,64,192,64,60,93,0.24494019899975683,0.7684585919996607,2,proposed_dp_eps2_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,28.0,4.0,28.0,True,all scored base+prune/fill candidates
4,64,256,64,57,126,0.26052776700089453,1.0289863590005552,2,proposed_dp_eps2_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,27.0,5.0,20.0,True,all scored base+prune/fill candidates
5,64,320,64,55,160,0.2615807780002797,1.290567137000835,2,proposed_dp_eps2_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,17.0,True,all scored base+prune/fill candidates
6,64,384,64,49,194,0.25347253499967337,1.5440396720005083,2,proposed_dp_eps2_sparse_diverse,11,7125801,14125801,11,512,disease_to_no_disease,32.0,26.0,6.0,12.0,True,all scored base+prune/fill candidates
